,I
1940,18
1894,15
1,8
1926,7
1884,5
1819,5
1912,2
1870,2
1899,2
1858,2
1809,2
1889,1
1906,1
1946/1947,1
1874,1
1808,1
1890,1
1919,1
1816,1
v.8(1827),1
1927,1
1904,1
1937,1
v.5(1824),1
1867,1
1857,1
1818,1
1916/1917,1
1842/1843,1
1871,1
v.1(1820),1
1893,1
1801,1
v.9(1828),1
1849,1
1910,1
1908,1
1872,1
1888/1889,1
1879,1
1855,1
1898,1
1988,1
1864/1865,1
v.6(1825),1
1802,1
1807,1
1903,1
1861,1
v.3(1822),1
1957,1
1917,1
1810,1
1815,1
1813,1
v.7(1826),1
1946,1
1923,1
1886,1
1814,1
1939,1
v.4(1823),1
1890/1891,1
1804,1
1877,1
1882,1
1915,1
1812,1
1876/77,1
1817,1
1873,1
1962/1963,1
1936,1
1913,1
1806,1
1978,1
1896,1
1811,1
1922,1
1856,1
1805,1
1803,1
1902,1
1880,1
1859,1
1995,1
v.10(1829),1
v.2(1821),1
1868,1
