,Q
20180524.0,44
20080620.0,39
20080613.0,35
20070514.0,23
20070523.0,21
20201016.0,18
20070607.0,12
20180523.0,10
20180706.0,9
20180919.0,8
20070518.0,8
20180417.0,8
20180629.0,7
20180418.0,6
20180320.0,6
20070515.0,5
20070517.0,5
20070530.0,5
20070524.0,5
20180628.0,4
20070525.0,4
20070516.0,3
20070606.0,3
20180522.0,2
20070608.0,2
20070522.0,2
20181114.0,2
20060903.0,1
20070416.0,1
20171004.0,1
20180718.0,1
20171122.0,1
20180831.0,1
20180929.0,1
20181009.0,1
20190821.0,1
20190904.0,1
20170630.0,1
