,a
1,1082
2,958
3,421
4,216
99,211
5,128
6,93
7,67
8,48
9,31
10,31
11,24
12,21
15,20
31,19
13,16
14,15
19,13
18,13
17,12
16,11
20,11
21,10
22,10
1/2,8
23,8
1 pt.2,7
"1,pt.2",7
"1,pt.1",7
1 pt.1,7
???,6
25,6
26,5
24,5
44,5
1-2,5
27,5
51,5
"2,pt.2",5
45,4
35,4
28,4
"4,pt.2",4
"2,pt.1",4
30,4
43,4
"3,pt.1",3
46,3
32,3
47,3
41,3
"4,pt.1",3
40,3
34,3
33,3
36,3
48,3
7 suppl.,3
39,3
29,3
1/3,3
37,3
"3,pt.2",3
38,3
v.1,2
"2,pt.3",2
1909,2
"5,pt.1",2
1921,2
53,2
C,2
1920,2
1922,2
88,2
v.2,2
52,2
50,2
"2,pt.4",2
7 pt.2,2
49,2
1919,2
54,2
80,2
42,2
7 pt.1,2
94,1
92,1
149,1
97-109,1
1904,1
S-4,1
S-14,1
1872/1873,1
10A,1
1 1887,1
1 no.1,1
86,1
8 1893,1
151,1
"5,pt.2,sec.1/2",1
176,1
185,1
13(1842),1
113,1
1929,1
69,1
125,1
1899,1
138,1
D,1
1938,1
170,1
190,1
105,1
84,1
1906,1
1945,1
S-18,1
94-109,1
166,1
1942,1
192,1
5/8,1
1927,1
175,1
72,1
17(1846),1
165,1
3 sect.1,1
S-1,1
160,1
78,1
1 no.2,1
188,1
133,1
182,1
97,1
3 1888,1
60,1
197,1
171,1
181,1
163,1
120,1
1/9,1
114,1
N-Q,1
193,1
85,1
161,1
9/12,1
146,1
56,1
31-42,1
202,1
204,1
1901,1
86-96,1
R,1
4 Index,1
1910,1
136,1
178,1
131,1
"2, pt.1",1
126,1
S-13,1
90,1
116,1
1912,1
S,1
8(1837),1
1943,1
142,1
167,1
195,1
198,1
1930,1
4/1,1
75-85,1
1954,1
116-121,1
71,1
1905,1
S-9,1
187,1
9(1838),1
79,1
S-16,1
96,1
179,1
1898,1
155,1
3 Suppl.,1
101,1
186,1
1956,1
201,1
184,1
112,1
103,1
148,1
S-17,1
164,1
S-8,1
54-63,1
16(1845),1
59,1
102,1
1908,1
55,1
"1,pt.4",1
139-145,1
107,1
98,1
1953,1
45-54,1
75,1
1955,1
165-168,1
158,1
118,1
1867/1870,1
S-2,1
S-7,1
76,1
5(1834),1
D-F,1
1925,1
162,1
123,1
100,1
61,1
177,1
6A,1
1917,1
183,1
43-45,1
1/4,1
173,1
58,1
153,1
196,1
2/4,1
152,1
2(1831),1
S-6,1
1918,1
65,1
11th,1
141,1
180,1
134,1
117,1
62,1
B,1
159,1
57,1
89,1
168,1
4 sect.3,1
108,1
14(1843),1
132,1
203,1
111,1
81,1
1(1830),1
66,1
I/II,1
1st,1
A-B,1
104,1
A,1
1950,1
18-31,1
S-20,1
1959,1
93,1
63,1
1926,1
1877,1
S-10,1
W-Z,1
122,1
21-22,1
4 1889,1
106,1
1915,1
169,1
174,1
1962/1963,1
1903,1
200,1
7(1836),1
199,1
145-155,1
6(1835),1
147,1
S-5,1
"2, pt.2",1
7 1892,1
1885,1
1923,1
129,1
12(1841),1
70,1
8-28,1
S-19,1
110,1
127,1
1876,1
67,1
145,1
64,1
1939,1
91,1
191,1
73,1
1957,1
1870,1
G-H,1
121,1
1878,1
63-75,1
140,1
87,1
1916,1
4/7,1
46-47,1
S-12,1
"1,pt.3",1
1951,1
15(1844),1
1913,1
205,1
1947/1948,1
1896,1
5 1890,1
45-48,1
6 1891,1
1897,1
68,1
137,1
115,1
144,1
2 1887,1
10 pt.1,1
1900,1
1966,1
1914,1
82,1
77,1
143,1
9 1894,1
206,1
74,1
150,1
1949,1
2-6,1
11(1840),1
"3,pt.3",1
1952,1
T-V,1
157,1
130,1
146-156,1
1911,1
109,1
156,1
"1,no.5",1
13/17,1
1-18,1
2/3,1
4(1833),1
139,1
83,1
1880,1
128,1
1873,1
95,1
S-15,1
1881,1
S-11,1
3(1832),1
172,1
10(1839),1
194,1
10 pt.2,1
154,1
n.,1
135,1
S-3,1
3/4,1
1961,1
119,1
1928,1
1958,1
124,1
122-139,1
1-3,1
189,1
3-4,1
????,1
4-7,1
109-115,1
text,1
1902,1
1/6,1
